family	building_type	element	value_original	unit_original	value_m	parse	confidence	source	quote
timber_frame	urban timber house with corner oriel, Strasbourg type, late 14th-15th c	bretèche (corner oriel) face angle to the house face	45	deg		non-length (deg)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Pan de bois"""	La face de la bretèche forme avec la face de la maison un angle de 45º
timber_frame	timber-framed chapel, Saint-Gilles, Troyes (faubourg Croncels), 2nd half 14th c	[[PLATE-SCALED off fig. 6. The plan A carries its own 5 m bar = 74 px (14.8 px/m); the section B carries a separate 5 m bar = 297 px (59.4 px/m). Plan gives 5.19 m, section gives 5.49 m — the plan bar is coarse, so quote the range]] nave interior width (span between the wall frames)	5.2 to 5.5	m	5.350	m [range midpoint]	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Pan de bois"", fig. 6 (plate Chapelle.Saint.Gilles.Troyes.2.png)"	Nous donnons (fig. 6) en A le plan, et en B la coupe transversale de la chapelle de Saint-Gilles.
timber_frame	timber-framed chapel, Saint-Gilles, Troyes, 2nd half 14th c	[[PLATE-SCALED off plan A of fig. 6 at 14.8 px/m. The narrow bay is Viollet's own third travee, and the text independently says it is narrower — a genuine text/plate agreement]] bay (travee) length along the nave — one post per travee	about 3.00 typical, about 2.40 for the narrow third travee under the fleche	m	3.000	first number, unit column (m)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Pan de bois"", fig. 6"	Tout le système consiste en une suite de poteaux (un par travée et à chaque angle) reposant sur une sablière basse et portant des fermes ; une sablière haute relie le sommet, et deux cours d’entretoises, avec des écharpes et potelets, maintiennent le dévers.
timber_frame	timber-framed chapel, Saint-Gilles, Troyes, 2nd half 14th c	[[PLATE-SCALED off section B of fig. 6 at 59.4 px/m]] wall frame height, ground line to the sabliere haute / entrait	4.2 to 4.5	m	4.350	m [range midpoint]	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Pan de bois"", fig. 6"	Une flèche, dont l’amorce est tracée en D, couronne le comble sur la troisième travée, plus étroite que les autres.
timber_frame	timber-framed chapel, Saint-Gilles, Troyes, 2nd half 14th c	"[[PLATE-SCALED off section B of fig. 6; least-squares fit to the left rafter line over 250 px of run gives 61.6 deg, the right gives 62.4 deg. Sits inside the 60-65 deg band Viollet states in ""Charpente"" (already in viollet_dimensions_v1.tsv) — this is a measured instance of that rule, not a duplicate of it]] roof pitch"	about 62	deg		non-length (deg)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Pan de bois"", fig. 6"	Les entraits et poinçons de la charpente sont apparents ; celle-ci est lambrissée.
timber_frame	any timber-framed building — floor structure	floor joist (solive) scantling band, varying with span	0.22 (8 pouces) down to 0.164 (6 pouces)	m	0.220	first number, unit column (m)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Solive"""	Leur équarrissage, suivant les portées, varie entre 0m,22 (8 pouces) et 0m,164 (6 pouces).
timber_frame	any timber-framed building — floor structure	joist spacing RULE: clear gap between joists equals the width of one joist ('tant plein que vide'), so spacing axis-to-axis = 2 x joist width, i.e. 0.33 to 0.44 m for the 0.164-0.22 m band above	gap = 1 joist width	m	1.000	first number, unit column (m)	author-rule	"Viollet-le-Duc, Dictionnaire raisonné, ""Solive"""	L’usage était de poser les solives tant plein que vide, c’est-à-dire qu’on laissait exactement entre chaque solive la largeur de l’une d’elles.
timber_frame	urban timber house, Saint-Antonin (Tarn-et-Garonne), 15th c	fir joist spacing (thin, deep joists set on edge)	0.60 to 0.90	m	0.750	m [range midpoint]	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Solive"""	Ces sortes de solives sont espacées les unes des autres de 0m,60 à 0m,90, et reçoivent des entretoises qui portent l’aire et le plafonnage.
timber_frame	southern French town house (Narbonne, Beziers, Aigues-Mortes, Perpignan)	fine close-set fir joists — scantling	0.11	m	0.110	m	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Solive"""	on n’employait que le sapin pour les planchers ; les poutres maîtresses sont assez voisines les unes des autres et les solives très-fines 0m,11 (4 pouces) et très-serrées
timber_frame	southern French town house	madrier lambrissage over the joists, carrying the floor screed — thickness (the actual walkable deck)	0.06	m	0.060	m	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Solive"""	Par-dessus est posé un lambrissage de forts madriers de 0m,06, avec couvre-joints, qui porte l’aire.
timber_frame	timber public building — customs house, Constance, 1388	ground-storey internal post — squared section at base and capital (the extreme upper bound for a post)	0.96	m	0.960	m	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Poteau"""	Sur une assise de grès A s’élève le poteau inférieur de bois d’orme, qui n’a pas moins de 0m,96 d’équarrissage à la base et au chapiteau, si bien que, comme l’indique la section B, chacun de ces poteaux a dû être pris dans un arbre de 1m,50 de diamètre, franc d’aubier.
timber_frame	timber public building — customs house, Constance, 1388	tree diameter, free of sapwood, needed to cut that post	1.50	m	1.500	m	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Poteau"""	chacun de ces poteaux a dû être pris dans un arbre de 1m,50 de diamètre, franc d’aubier
timber_frame	any medieval French roof — timber supply limit	chevrons portant ferme (principal rafters) — length available, at scantling 0.20 x 0.20	12 to 15 long, 0.20 x 0.20 section	m	12.000	first number, unit column (m)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Bois"""	Les chevrons portant ferme sont eux-mêmes des bois de brin non refendus, et ces chevrons, qui ne comptent guère que soixante années, atteignent cependant parfois douze et quinze mètres de longueur sur un équarrissage de 0,20 × 0,20.
timber_frame	tile-roofed building, Champagne / Troyes, 13th c onward	common rafter (chevron) width under a tile roof, laid 'tant plein que vide' so the gap equals the rafter width	0.11 wide, 0.11 gap	m	0.110	first number, unit column (m)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Tuile"""	Ces chevrons avaient, lorsqu’il s’agissait de couvrir en tuiles, 0m,11 (faible) de large (4 pouces) ; ils laissaient donc entre eux un intervalle de 4 pouces.
timber_frame	tile-roofed building, Champagne / Troyes	rafter spacing, axis to axis (entre-axe) — set by the tile width, not chosen freely	0.22	m	0.220	m	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Tuile"""	L’espace entre les axes a, b, c était donc de 0m,22 (faible).
timber_frame	tile-roofed building, Champagne / Troyes	master rafters carrying trusses, and intermediate chanlattes — widths	0.14 (maitres chevrons), 0.08 (chanlattes)	m	0.140	first number, unit column (m)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Tuile"""	les maîtres chevrons portant fermes avaient 0m,14 (de 5 à 6 pouces) ; les chevrons intermédiaires, ou chanlattes, n’avaient que 0m,08 (3 pouces)
timber_frame	tile-roofed building, Champagne / Troyes	oak lath (latte) spacing up the slope — equals the tile pureau	0.115	m	0.115	m	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Tuile"""	Sur ces chevrons étaient clouées les lattes de chêne, espacées les unes des autres de 0m,115.
timber_frame	tile-roofed building, Champagne / Troyes, 13th c onward	flat tile ('tuile ordinaire') — length x width, thickness given separately below	0.35 x 0.215	m	0.350	pair max (m)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Tuile"""	La première a 0m,35 sur 0m,215 de largeur (13 pouces sur 8).
timber_frame	tile-roofed building, Champagne / Troyes	flat tile thickness, and exposed course (pureau) — three thicknesses of tile everywhere on the roof	0.022 thick, 0.115 pureau	m	0.022	first number, unit column (m)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Tuile"""	Le pureau de ces tuiles n’est que de 0m,115. Or ces tuiles ayant 0m,35 de longueur, il y a toujours, sur le comble, trois épaisseurs de lames de terre cuite. L’épaisseur de ces tuiles champenoises est de 0m,022 (10 lignes).
timber_frame	tile-roofed building, Burgundy / Nivernais, 12th c	earlier large flat tile — length x width x thickness	0.33 x 0.27 x 0.022	m	0.330	first number, unit column (m)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Tuile"""	l’on commença par fabriquer de grandes tuiles plates de 0m,33 (1 pied) de long sur 0m,27 (10 pouces) de largeur, et d’une épaisseur de 0m,022 (10 lignes)
timber_frame	ordinary brick or moellon building, south and west France	gutter tile (tuile gouttiere) laid at the eaves as a chéneau — length	0.65	m	0.650	m	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Tuile"""	Les tuiles gouttières que l’on trouve encore dans le midi et l’ouest de la France sont très-grandes ; elles mesurent en longueur 0m,65 (2 pieds)
timber_frame	slate-roofed building, west and north France	slate unit size — width x height; and the narrow 'heridelle' grade	0.18 x 0.25 (ordinary), 0.10 x 0.38 (heridelle)	m	0.180	first number, unit column (m)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Ardoises"""	Quant à leur longueur et largeur, généralement les anciennes ardoises employées dans l’ouest et dans le nord sont petites, de 0,18 c de largeur environ sur 0,25 c de hauteur ; souvent elles appartiennent à la série nommée aujourd’hui héridelle, et n’ayant que 0,10 c de large environ sur 0,38 c.
timber_frame	slate-roofed building	slate thickness, by date	0.010 to 0.015 (12th-13th c), 0.005 to 0.008 (15th c)	m	0.010	first number, unit column (m)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Ardoises"""	Les anciennes ardoises (nous parlons de celles des XIIe et XIIIe siècles) ont de dix à quinze millimètres d’épaisseur, tandis que celles du XVe siècle n’ont guère que de cinq à huit millimètres au plus.
timber_frame	slate-roofed building	slate exposure rule (pureau) — the visible part of each slate, hence the course pitch up the slope	1/3 to 1/4 of the slate height	m	1.000	first number, unit column (m)	author-rule	"Viollet-le-Duc, Dictionnaire raisonné, ""Ardoises"""	Le pureau étant du tiers ou du quart de la hauteur de l’ardoise, chaque point de la couverture est recouvert par trois ou quatre épaisseurs d’ardoises, et chaque ardoise ne laisse voir que le tiers ou le quart de sa hauteur.
timber_frame	any French roof before the late 12th c	roof pitch ceiling for a TILE covering — above this, tiles slide	45	deg		non-length (deg)	author-rule	"Viollet-le-Duc, Dictionnaire raisonné, ""Ardoises"""	jusque vers la fin du XIIe siècle, on ne leur donnait guère une pente supérieure à quarante-cinq degrés, ce qui est la pente la plus roide pour de la tuile, mais on crut devoir augmenter l’acuité des combles destinés à être couverts en ardoise
timber_frame	shingle-roofed building, 15th-16th c	oak shingle (bardeau) — length x width (riven, not sawn)	0.22 x 0.08	m	0.220	pair max (m)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Bardeau"""	Leur longueur n’excède guère 0,22 c. et leur largeur 0,08 c.
timber_frame	urban timber house, rue du Marc no. 1, Reims, 15th c	principal room — interior span (length x width), with beam count giving the beam bay	15.00 x 6.50, 5 bays between 6 beams (beam spacing about 3.00)	m	15.000	first number, unit column (m)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Plafond"""	Il recouvre une salle de 15 mètres de longueur sur 6m,50 de largeur, et se divise en cinq travées séparées par six poutres, les deux d’extrémités formant lambourdes.
timber_frame	urban house, rue Saint-Pere, Chartres, late 15th c	floor joists set diagonally (on the angle), carrying brick voutains — scantling	0.32	m	0.320	m	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Plafond"""	Les solives ont 32 centimètres de côté (un pied) et placées sur la diagonale, elles offrent une grande roideur.
timber_frame	urban house, rue Saint-Pere, Chartres, late 15th c	brick used for the voutains between those joists — thickness x side	0.03 x 0.10	m	0.100	pair max (m)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Plafond"""	Ces briques ont 3 centimètres d’épaisseur sur 10 centimètres de côté.
